customerid,customer_fname,customer_lname,user_name,password,address,city,state,pincode
6746,treBcEq,oBhniTB,YiKLQNLgGH,MMCfNOEm,739 cFXCzV St.,New York,AZ,34849
3989,qbYJKxZ,PtSwnDT,DZxizRkdkY,4otuFZIz,277 VZLwHy St.,New York,TX,31423
5271,eHGPdXy,JxDXwDG,NaboKUXNwG,x61wRL6G,852 HHsrVM St.,Chicago,TX,87056
10766,TMsBefA,YsntZdN,UeGLyijAmX,ckoK9HN3,681 IaOXWB St.,Los Angeles,CA,86552
11427,RVhCsra,eDDRFpA,ftrVvkHLZV,BX5SNYg3,480 PzrghY St.,Phoenix,IL,88604
5271,hUcPNeg,HZsPhuY,BCrSelCIGR,9nSJmUQb,231 rJVmSp St.,Phoenix,AZ,13878
10766,WbcwXNa,EDAUqtq,xmwbovjZqI,ESEMd0he,134 lUYOah St.,Phoenix,TX,77224
5884,NyzBCEB,nqyfoIw,dFwThdjbjI,Au55XIOx,223 bdkfqH St.,New York,IL,41561
6746,dYzXQkG,OgdjQno,egIquNgHpX,e9I4eZ2T,178 cKmrJq St.,New York,CA,77026
5917,RwbqegC,bdBHhUV,uNCsxMiFgD,hP7CFJns,359 eFNleT St.,New York,NY,39812
5884,QfpqTfG,sdCchNp,WqHEpweWaF,rePzdo6k,460 qecTBw St.,New York,IL,83319
5917,ikRrZhp,hyxfcPt,PxsdnewHCK,8TVjiJT5,7 BICsUs St.,New York,NY,61540
3833,hSdMoGL,naUVJlj,cLWVfufQdB,QrcgNrtR,20 PfRTtK St.,New York,AZ,50734
6451,zuiTlnN,dZBiLkk,WmFLVppMFd,7brhM4rz,474 lAfJhI St.,New York,NY,64206
4694,raoclzG,cVBbYVw,wEsyTccNPu,hjptuqkN,196 nVzECU St.,New York,IL,38777
6451,hVahgSv,QhxjBYg,uhUjhtSWKn,SJUPXgu0,119 klcKhr St.,Los Angeles,IL,53743
6451,agTqyBp,rxlahNp,YxohxIPgwL,n0AiRgWr,669 ZNLpgq St.,New York,AZ,52057
3833,NsksTtS,EPeWjnA,RDBRmUOyJM,BeFxzxSO,893 KnteaB St.,Los Angeles,AZ,83110
4253,xWtZOje,pwBOcyt,ShYGfcrmmC,TJBRaskO,809 yuiVtP St.,Los Angeles,TX,98637
4694,gvPTScJ,BxDPXlP,khYXFkflHe,dHP81EGO,824 mNqyjP St.,New York,TX,73704
10766,VHbUmkB,SFiKgLr,emVJNIJaPQ,SsRnkiiq,526 jjFJpq St.,New York,AZ,11417
8038,fatbnIm,zeRVneA,uITFWPZjMd,Q27jnJ7K,476 QyAqvk St.,Phoenix,TX,26321
11427,xmMbZBK,OkSQqII,ZhnMeRaYdW,blInRTMI,316 NyNKji St.,New York,AZ,57968
6460,NrDDMti,mJVNryz,zeQqDwLVXR,W8AaMeDq,722 LhZfEz St.,Phoenix,AZ,16638
4694,pcrYhBf,vcaHqfq,aoYkFoTraN,3CVLyaKP,478 rzZMss St.,New York,CA,41738
6746,DQvcNeG,XjibnAm,mEiOIwwIxg,NIQORsMI,828 foNBRF St.,Los Angeles,CA,90546
4694,MJVzTBT,IMZeyDn,FNjDCaZKjV,NCYDEKid,304 GvQLZv St.,Houston,CA,84076
11427,yTZfsJT,fZqoEUx,JFUEAKsIvr,xN7FvC3S,659 UGYfGz St.,New York,IL,65992
4694,kvTYCUW,SlLknCm,nEijkRdWcm,5A9Ke9gX,633 eUaBpb St.,Los Angeles,TX,33494
3989,AeFefHQ,pynZTZB,lihzzLoKeY,YGoaTPx4,504 ROMKTe St.,Phoenix,AZ,95692
5271,HFUeyQC,NQZoZqJ,vgNIwTybPc,HLYrFvLR,60 VMchqG St.,New York,AZ,23492
6451,zMxnBJN,qRKJYtC,tcLloPXSVR,T44nzSSW,542 cHAdgi St.,Los Angeles,NY,99996
